20 111 
0 7 109 
8 10 100 
7 12 80 
14 18 104 
1 19 84 
7 18 111 
2 15 62 
5 15 51 
1 6 50 
3 18 104 
0 16 97 
5 8 113 
4 14 41 
10 12 109 
0 19 67 
14 19 106 
6 9 122 
4 9 76 
8 9 98 
4 15 38 
7 17 70 
6 14 107 
3 4 62 
1 14 86 
8 11 44 
2 17 103 
9 17 83 
1 4 59 
13 15 84 
4 13 103 
4 8 35 
2 5 63 
1 5 92 
3 6 105 
1 2 84 
11 15 96 
10 11 85 
1 17 36 
10 14 85 
16 17 65 
7 9 83 
13 14 43 
0 6 76 
8 19 96 
3 15 93 
10 16 90 
7 10 124 
0 4 94 
5 16 81 
10 18 137 
2 6 103 
7 15 62 
6 16 63 
18 19 99 
7 13 120 
9 15 74 
12 19 115 
13 18 91 
12 14 61 
0 8 169 
8 12 17 
2 7 130 
3 16 77 
14 16 130 
2 3 94 
10 15 87 
1 13 36 
13 17 101 
15 18 86 
5 12 141 
3 11 75 
5 9 121 
5 19 48 
6 15 64 
4 10 104 
0 1 86 
1 9 78 
2 10 122 
4 6 131 
11 13 57 
0 12 63 
10 19 130 
9 11 71 
4 11 103 
2 11 107 
5 10 72 
12 17 115 
2 12 93 
8 18 102 
4 5 131 
9 16 85 
0 17 104 
7 16 99 
11 19 85 
3 10 79 
3 12 20 
15 16 99 
6 11 131 
7 8 71 
5 14 60 
11 16 42 
0 2 41 
10 13 83 
6 13 98 
11 18 89 
1 11 87 
6 10 70 
8 13 101 
5 6 76 
7 14 109 
2 19 75 
